2025-04-13 10:48:20.626 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=102, id=-3993128621597143898) p2=GeneratorBuilderTest.Person(age=685, id=-3353080407828961009)
2025-04-13 10:50:05.225 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=864, id=8682594605852471107, clothes=null) p2=GeneratorBuilderTest.Person(age=563, id=-6111183540970738971, clothes=null)
2025-04-13 10:57:00.633 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=861, id=-4376707691179192418, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.9000648941827806)) p2=GeneratorBuilderTest.Person(age=313, id=49999694976396435, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.9846195429243365))
2025-04-13 11:11:01.360 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=985, id=-1113530590896565227, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.6459482854574466)) p2=GeneratorBuilderTest.Person(age=111, id=-7127047035390672838, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.34235348005736954))
2025-04-13 11:39:30.184 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=773, id=3169806616412121122, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.23970538159811328)) p2=GeneratorBuilderTest.Person(age=700, id=-4717551156714077807, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.9114457112429496))
2025-04-13 11:39:30.191 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=348, id=5222639278349704130, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.5484534469749119)) p2=GeneratorBuilderTest.Person(age=268, id=-3044296240930733072, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.42797227154020123))
2025-04-13 12:40:50.088 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=923, id=-6101019080002838496, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.08819079811041064)) p2=GeneratorBuilderTest.Person(age=983, id=-9096874812832123762, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.9966367534744315))
2025-04-13 12:40:50.095 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=142, id=49226513372236154, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.4349033382869707)) p2=GeneratorBuilderTest.Person(age=369, id=-3979557632541280052, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.7140189725081877))
2025-04-13 12:51:30.101 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=229, id=5282294891297813869, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.3981978144306386)) p2=GeneratorBuilderTest.Person(age=831, id=6952047295879208898, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.32797275508787316))
2025-04-13 12:51:30.108 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=142, id=4931531992357757661, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.8631233488132815)) p2=GeneratorBuilderTest.Person(age=694, id=-8592116008710064399, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.6576449365774397))
2025-04-13 12:52:41.074 [main] INFO  com.lanqiao.test.gen.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=821, id=4532366722558861486, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.8436348411850774)) p2=GeneratorBuilderTest.Person(age=135, id=-6130521395744117866, clothes=GeneratorBuilderTest.Clothes(type=2, price=0.4119310584126712))
2025-04-13 12:52:41.081 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=350, id=-8025611524203942806, clothes=GeneratorBuilderTest.Clothes(type=0, price=0.4655193697266622)) p2=GeneratorBuilderTest.Person(age=67, id=-1583169682427879636, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.9420717032845207))
2025-04-13 14:24:23.352 [main] INFO  com.lanqiao.test.generator.GeneratorBuilderTest - p1=GeneratorBuilderTest.Person(age=50, id=6904510912713409947, clothes=GeneratorBuilderTest.Clothes(type=3, price=0.4605993650204091)) p2=GeneratorBuilderTest.Person(age=836, id=2160782326399208327, clothes=GeneratorBuilderTest.Clothes(type=1, price=0.179377010614736))
